,result
1826,"['UK:D-StressFOCus stimulates the memory &', 'TD-StressFOcuS migliora la memoria &', 'concentration*.INTELLECTUAL PERFORMANCE*', 'la concentrazione*.PERFORMANCE INTELLETTUALI*', 'L-TyrosineGinkgo bilobavitamin C.D-StressFOCuS is a synergy', 'L-TirosinaGinkgo biloba vitamina C.D-StressFOcus e una', 'of L-Tyrosine,*Ginkgo biloba which improves cognitive functions', 'sinergia di L-Tirosina.di *Ginkgo biloba che migliora le funzion', 'and memory. *Ginkgo biloba maintains good brain performance.', 'cognitive e la memoria.  *Ginkgo biloba maintiene buone', 'D-Stress FOCUS also contains *vitamin C which contributes to', 'performance cerebrali.D-Stress FOCuS contiene anche *vitamina', 'normal psychological functions.', 'C che contribuisce a funzioni psicologiche normali', 'INSTRUCTIONS FOR USE:1 tabletin the morning on an empty', ""ISTRUzIONIPER L'USO:1 compressa la mattina a digiuno.Da"", 'stomach.Use preferably with D-StressTABLETS or D-Stress', 'associare preferibilmente a D-StressCOMPRESSE o D-Stress', 'BOOSTER.INGREDIENTS FOR 1 TABLET:L-Tyrosine 300', 'BOOSTER.INGREDIENTIPER 1COMPRESSA:L-TirOsina 300', 'mg)anti-caking agent:dicalcium phosphate,Ginkgo biloba L.leaf', 'mg) antiagglomerantefosfato bicalcicoestratto secco di fogli di', 'dry extract (eq.plant 6 g120 mgbulking agentmicrocrystalline', 'Ginkgo biloba L.eq.pianta 6 g120 mgagente di carica:cellulosi', 'cellulosevitamin C L-ascorbic acid 100%of NRV**80 mg)', 'microcristallina.vitamina C (acido L-ascorbico) (100 % dei VNR**', 'anti-caking agents: tricalcium phosphate, magnesium stearate,', '80 mg) antiagglomeranti fosfato tricalcicostearato di magnesio,', 'thickening agent: croscarmellose sodium.', 'addensante: croscarmellosi sodica.', 'Oral. Keep out of reach of children. Do not exceed the', 'Via orale.Tenere fuori dalla portata dei bambini. Rispettare', 'ecommended dose.This product does not replace the need', 'la dose raccomandata. Questo prodotto non sostituisce una', 'for a varied and balanced diet and a healthy lifestyle. Seel', 'dieta varia ed equilibrata ed une stile di vita sano.Consultare', 'medical attention if anticoagulants are also being taken.Use', 'un medico in caso di presa simultanea di anticoagulanti. ', 'in people on antidepressant therapy is not recommended.Use', ""sconsigliato I'uso in persone sotto trattamento antidepressivo."", 'in pregnant and breastfeeding women is not recommended.', 'E sconsigliato Iuso nelle donne gravide ed allattanti.', 'Net weight 29.88g e.Best before/Batch number see packaging.', 'Peso netto:29.88g e.Da consumarsi preferibilmente entro il/', '**NRVNutrient Reference Values', 'Numero di lotto:vedere astuccio**VNR:Valori nutritivi di riferimento', 'ES:D-StressFOCUS estimula la memoria y', 'DE:D-StressFOCUs Stimuliert Gedachtnis &', 'la concentracion*.RENDIMIENTO INTELECTUAL*', 'Konzentration*.KOGNITIVE LEISTUNGSFAHIGKEIT *', 'L-Tirosina Ginkgo biloba,vitamina C.D-Stress FOCUs es una', 'L-Tyrosin Ginkgo biloba Vitamin C. D-Stress FOCus ist eine', 'sinergia de L-Tirosina y *Ginkgo biloba que mejora las funciones', 'Kombination aus L-Tyrosin und *Ginkgo biloba zur Verbesserung', 'cognitivas y la memoria.El *Ginkgo biloba permite mantener un buen', 'der kognitiven Funktionen und der Gedachtnisleistung. *Ginkgo', 'rendimiento cerebral.D-StressFOcus tambien contiene *vitamina', 'biloba unterstutzt die geistige Leistungsfahigkeit. D-StressFOCUS', 'C.que avuda a mantener unas funciones psicologicas normales.', 'enthalt ebenfalls *Vitamin C, das zu normalen physiologischen', 'INSTRuccIONES:1 comprimido por la manana en ayunas.', 'Funktionen beitragt.', 'Combinar de preferencia con D-StressCOMPRIMIDOS o D-Stress', 'ANWENDUNG: 1 Tablette morgens auf nuchternen Magen.', 'BOOSTER.INGREDIENTES DE 1 COMPRIMIDO:L-Tirosina', 'Vorzugsweise mit D-Stress COMPRIMES oder D-Stress BOOSTER', '300 mg), antiaglomerante: fosfato dicalcico, extracto seco de', 'kombinieren.INHALTSSTOFFE1TABLETTE:L-Tyrosin', 'hojas de Ginkgo biloba L.(eq.planta 6 g,120 mg)agente de carga', '(300 mg) Trennmittel Dicalciumphosphat. Trockenextrakt aus', 'celulosa microcristalinavitamina C acido L-ascorbico 100 % de', 'Ginkgo biloba L.-Blattern eq.Pflanze 6 g120 mgFullstoff', 'los VRN**80 mgantiaglomerantes:fosfato tricalcicoestearato de', 'mikrokristalline CelluloseVitamin C L-Ascorbinsaure) (100 %', 'maqnesio.espesantecroscarmelosa de sodio.', 'DRV**80 mgTrennmittelTricalciumphosphatMagnesiumstearat,', 'Via oral.Mantener fuera del alcance de los ninos.Respetar', 'Verdickungsmittel: Croscarmellose-Natrium.', 'la dosis recomendada.Este producto no puede sustituir una', 'Orale Einnahme. AuBerhalb der Reichweite von Kindern', 'dieta variada y equilibrada y un estilo de vida saludable', 'aufbewahren. Die empfohlene Dosis einhalten. Dieses', 'Consulte a su medico si esta tomando anticoagulantes', 'Produkt ist kein Ersatz fur eine abwechslungsreiche und', 'No recomendado para personas con un tratamiento de', 'ausgewogene Ernahrung sowie eine gesunde Lebensweise', 'antidepresivos.No recomendado para mujeres embarazadas', 'Bei gleichzeitiger Einnahme von Gerinnungshemmern Arzi', 'o en periodo de lactancia', 'konsultieren. Von der Verwendung durch Personen die', 'Peso neto:29,88g e.Consumir preferentemente antes de/Numero', 'mit Antidepressiva behandelt werden, wird abgeraten. Fur', 'de lote:ver caja:**VRN:Valores de referencia de nutrientes', 'Schwangere und Stillende nicht geeignet.', 'Nettogewicht 29.88g e.Mindestens haltbar bis / Chargen-Nrs.', 'Verpackung.**DRV: Nahrstoffaufnahme-Referenzwerte Dietary', 'ReferenceValues)']"
1827,"['..', 'GNAW', 'Handcrafted Chocolate', 'mixed Hot', 'Choc Shots', '!...', 'GIFT SET', '+', 'Rochy Road', 'mill', 'Caramel', 'HOT CHOC SHOT WITH PINK', '&WHITE MARSHMALLOWS', 'HOT CHOC SHOT WITH', 'HOT CHOC SHOT WITH', 'MARSHMALLOWS', 'MARSHMALLOWS']"
1828,"["" Sant'Anna"", ""L'ACQUA.LA NOSTRA ORIGINE"", '1,0', 'BASSISSIMI', 'NITRATI', 'mg/', '0,5L', '3,7', 'BASSISSIMA', 'DUREZZA', 'BASSISSIMO', '46', 'RESIDUO', 'mg/', 'FISSO', ""Sant'Anna"", 'DrVinadio', 'FRIZZANTI', '1,1', 'BASSISSIMO', 'SODIO', 'mg/']"
1829,"['Unted-142.7c/)', '40Gbps Superspeed Sync', 'Data transfer speed up to 40Gbps', 'And compatible with USB 3.2/USB 3.1 gen1 gen2/', 'USB 3.0/USB 2.0Also,this USB-c extension cable', 'can charge UsB-C devices with the latest Power', 'Delivery charging technology.', 'USB4 (40Gbps)', 'F i', 'USB3 (5Gbps)', 'USB2 (480Mbps)', 'esc', 'F1', 'F3', 'F4', '404', '%', '5', 'Charge', 'Data', 'Audio', 'tab', 'caps lock', 'PD100W', 'shift']"
1830,"['REMOVABLE & ADJUSTABLE', 'NTERIOR DIVIDER']"
1831,"['120mm', 'Depth', '12""/305mmDiameter', 'Approx.', 'Strong Durable Rubber', 'to provide an airtight', 'seal,Microfibre Cloth', 'Material to provide High', 'Efficiency Filtration']"
1832,"['PRODUCT SIZE', '15 COMPUTER', '42cm/16.5in', 'IPAD', '29cm/11.4in', '16cm/6.3in']"
1833,"['Product Parameters', 'NEEWER', 'DC', 'Name', 'AC 110V to DC Power Adapte', '5.5mm x 2.5mm', 'Connector', 'Output', 'Input', 'AC 100~240V 50~60Hz', 'DC 15V', 'Voltage', 'Output', 'Output', '5A', '75W', 'Current', 'Wattage']"
1834,"['itivity.Keep out', 'SUBOUD', 'ysician.Avoid', 'and sensitive', 'ssential oil.', 'A', 'Seren', 'dOTER', 'ads Euray pue', 'dOTER', 'Cedarw', '100% pure therapeutic-g', 'contact with eyes,inne', 'Caution:Possible ski', ""doctor's care,consult "", 'areas.']"
1835,"['18.5cm/7.28""', '2.7cm/1""', '3.7cm/1.45""']"
1836,"['YOGITEA', 'YOGITEA', 'BIOLOGI', 'OGISCH', 'YOGITEA', 'YOGITEA', 'YOGITEA', 'Basische', 'Krauter', 'BIOLOGI', 'GISCH', 'AYURVEDISCHE KRA', 'YOGITEA', 'TERTEEMISCHUNG', 'MIT HAFERGRAS,LOW', 'NZAHN,LAVENDEL', 'Basische', 'Krauter', 'BIOLOGIS', 'GISCH', 'AYURVEDISCHE KRAL', 'ERTEEMISCHUNG', 'MIT HAFERGRAS.LOWI', 'NZAHN,LAVENDEL', 'Basische', 'BIOLOGISCH', 'Krauter', 'AYURVEDISCHE KRAU', 'TERTEEMISCHUNG', 'MIT HAFERGRAS,LOW', 'ENZAHN, LAVENDEL', 'BasischeKrauter', 'Mild, ausg', 'glichen,', 'liebens', 'vert.', 'MIT HAFERGRAS, LOWENZAHN,LAVENDEL', '17 Teebeu', 'el a2,1g', '35,7g', 'Mild, ausg', 'glichen,', 'liebens', 'vert.', '17Teebeut', '1a2,1g)', '35,7g', 'Mild, ausge', 'glichen,', 'liebens', 'wert', '17Teebeut', 'la2,1g)', '35,7g', 'Mild, ausgeglichen', 'liebenswert.', '17 Teebeutel (a2,1g)', '35,7g']"
1837,"['ENCHUFE', 'VASO DOSIFICADOR', 'BOTELA', 'Botella hecha', 'de un material anti-uv', 'LDPE', 'para proteger', '.P', 'el contenido', 'PLASTICO', 'NOF', 'Conuita lsdosicionesdetmunicipio', 'NO', 'INFORMACION NUTRICIONAL', '100mL', '50 mL', '50mL', 'de producto dosis recomendada', 'VRN', 'Valor energetico', '20KJ-5 Kcal', '10KJ-2,5 Kcal', 'Grasas', '0,10g', '0,05g', 'delas cuales acidos grasos saturados 0,05 g', '0,03 g', 'Hidratos de carbono', '0,45 g', '0,23g', 'de los cuales azucares', '0,10g', '0,05 g', 'Fibra alimentaria', '0,70g', '0,35g', 'Proteinas', '0,19g', '0,10g', 'Sal', '0,05g', '0,03g', 'Potasio', '600mg', '300 mg', '15%', 'Magnesio', '112,5mg', '56,25 mg', '15%', 'Vitamina C', '128 mg', '64 mg', '80%', 'Vitamina E', '12mg', '100%', '24mg', 'Valores de referencia de nutrientes', 'Producido y envasado por', 'Lote:']"
1838,"['MFi Certification', 'Support PD Fast Charge', '55%', 'USB-C to iPhone support', '20W Power', '30mins', 'USB to iPhone support', '3A Speed']"
1839,"['Before', 'After', 'HOMOAHOS', 'HOMOAHOH', 'COCOUnI CLOOH', 'COCOUNE CLGOW', 'ATRA']"
1840,"['194MM', '74MM']"
1841,"['Misceladi pregiate qualita', 'di caffe torrefatto in grani', 'LOLLOCAFFE', 'classico', 'espresso', 'PESO NETT0 1000g e']"
1842,"['3.38inch', '7.48inch', '3.14inch']"
1843,"['C', ' d1', 'a', 'b', 'b', 'd', 'd1', 'a', 'C', 'F', '12mm', '20mm', '25mm', '6mm', '0.5mm', '2.5mm']"
1844,"['Smarter NTC.', 'Sensor', 'Control every degree with precision', '20ML', 'PROCESS', 'OLLAGEN', '80ML', '60ML']"
1845,"['EEE', '24cm', '14cm', '24cm']"
1846,"['Strong Load-bearing Capacity', '15LB', '15LB']"
1847,"['4PSC 13.5CM', '13.5CM']"
1848,"['E26 Base', '110-120V', 'MAX 60W', 'Bulb can be replaced.', 'compatible with.', 'E26 Bulbs', '(LED, CFL, Incandescent)']"
1849,"['60W USB C FAST CHARGING CABLE', 'High-Speed Data Transmission, Up To 480 Mbps', 'Caps', 'Lock', 'DShift', 'Ctr', 'SDBAUX']"
1850,"['36V Lithium-lon Battery', 'Max Range', '30-45KM', 'Charge Time', '3-4 Hours', 'Large Capacity', '36V10.4AH']"
1851,"['40mm / 1.57""', '38mm / 1.5""']"
1852,"['50W', 'SOLAR PANEL', '28cm/11.02in', '42cm/16.54in', '12V', '12-18V', 'DC Output)', '(DC Output)']"
1853,"['27mm', '42mm', '27mm', '42mm', '22mm', '185mm', '192mm', '185mm', '21mm', '166mm', '112mm', 'TOUARETAILS', 'TOUARETAILS', 'TOUARETAILS', 'TOUARETAILS', 'TOUARETAILS', '75mm', 'ARETAILS', '230mm', '300mm', '328mm', '328mm', '322mm', '188mm', 'Name', 'Fruit knife', 'Utility knife', 'Santoku knife', 'Bread knife', 'Slicing knife', 'Chef knife', 'Size', '3.5 Inch', '5 Inch', '7 Inch', '8 Inch', '8Inch', '8Inch', 'Wight', 'About 50g', 'About 57g', 'About 155g', 'About 131g', 'About 124g', 'About 162g', 'Thickness', '1.8mm', '1.8mm', '2.0mm', '2.0mm', '2.0mm', '2.0mm']"
1854,"['Build in.', 'thermometer', 'C,F', 'Easy', 'switch', 'between', '78%', 'Celsius and', 'Fahrenheit', '27.5r', '39', 'Charge Your', '80.8', '44', 'Phone', 'Organize', 'EDC', 'ControlHome', 'V', 'Climate']"
1855,"['2 large rectangular boxes', '2.36inch', '6.7inch', '24 small boxes', '0.79inch', '2.12inch', '.12inch']"
1856,"['Live,Laugh,Love', '3FT/90CM', '-Kim Jong Un', '5FT/150CM']"
1857,"['BELLE', '&B10', 'Plus de 15 ans', 'Fabriques en France', ""d'experience"", 'dans le Sud Ouest', 'Demarche sourcing', 'Proximite & Perennite :', 'de qualite :', 'Audits reguliers aupres', 'Labellise PHYtOLIA', 'de nos fournisseurs', 'XRI', 'MASRATANT', 'GORMMANE', 'HADRATING', 'PURUFYING', 'sage/Face', 'SOURRACHE', 'BASTILLES RELAXATION', 'ORBGENSC RELAXATION', 'BORAGE', 'CER', '50ml', '50ml', '1.69 l.oz', '1.69 fl.oz']"
1858,"['DIY Supply', '1.66 In', '1.22 In']"
1859,"['11.5cm/4.53in', '32cm/12.6in', '5.5cm/2.17in']"
1860,"['PRODUCT DIMENSION', '1.97 x 1.73 x 1.26 Inch', '1.97 inch', 'Deluxe', 'Simple', 'Submeisible Pump', 'LGPUMP80G/JR-3000', '120V 0.035A 60Hz', 'impedanco Protected', 'WARNING:To reduce the risk ofelectric', 'Shock,connct ony tos proery grundd,groudng ypo', 'receptacio.Risk of oloctric shockThis pump hss not boen', 'BHDA', 'Investgatod for uso in swimming pools or marino arees.', 'CAUTION:Do notrun dry.', '1.26 inch', '1.73 inch']"
1861,['Designed an ongxneaean']
1862,"['48V 500W', 'BRUSHLESSMOTOR', 'Powerful For Riding', 'KENDA', 'HOTEBIKE', 'KENDA', '22MPH', '80%', '60dB', '(35km/h)', 'Top Speed', 'High Efficiency', 'LowNoise']"
1863,"['*23.5cm', 'Jy L#z3#+yJf', 'AC100-240 V', 'anasonic']"
1864,"['Cooling-Vapor chamber', 'Maximum', 'Gaming', 'Maximum Overclocking', 'Maximum Stability', 'A large vapor chamber significantly increases cooling area for rapi', 'd and efficient heat dissipation through 4 fan outlets, allowing for u', 'p to 25w higher thermal headroom in Turbo mode.']"
1865,"['428mm', '460mm', '420mm', '335mm']"
1866,"['19cm/7.48inch', '13cm/5.11inch', '6.5cm/2.55inch', '6.5cm/2.55inch']"
1867,"['Material', 'Kunststoff', 'Besonderes Merkmal', 'Stabil Falter', 'Farbe', 'Grau-6 Stuck']"
1868,"['Size: US 7-13#', 'Net Weight: 4.4-5.7g', '3mm', 'S', 'Perimeter', '0cm1', '1.Wrap it around the base', '2.Mark ending of the circle', '3.Measure from begining to ending', 'of finger.', ""mark,get finger's perimeter."", '-Diameter-', 'The sizes options of order are Us standard, please notice', 'Diameter', '14.8', '15.7', '16.5', '17.3', '18.1', '18.9', '19.8', '20.5', '21.4', '22.3', '(mm)', 'US', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', 'UK', 'H1/2', 'J1/2', 'L1/2', '0', 'Q', 'S', 'T1/2', 'V1/2', 'Y', 'Z+1', 'DE/ER', '47', '49', '52', '54', '57', '59', '62', '64', '67', '69', 'ES', '7', '9.5', '12', '14.5', '17', '19.5', '22', '24.5', '27', '30', 'IT', '7', '9', '12', '14', '17', '20', '22', '24', '27', '30']"
1869,"['Product Size', '9cm', '9cm', '13cm', '4cm', '13cm']"
1870,['WARTERPROOF']
1871,"['Product Size', '25CM', '18CM']"
1872,"['60 inch', '36', 'inch', '81']"
1873,"['+', 'going', 'were', 'BOWAING', '40cm(15.7 inch) * 34cm(13.3 inch']"
1874,"['15+', 'YOU', 'MADE IN CHINA', '15+', '100%', 'FABRIOUE EN CHINE', 'TOOZ', 'FABRICADO EN CHINA', '0-3', 'AUTHENTIC', 'COLLECTIBLES', 'SORUCER', 'YOUTOOZ INC.', 'DD1O7 SAN RAM ROAD', '300FUNG KAT HEUNG', 'Manufactured', 'KAM TIN.YUEN LONG.N.T.H.K', 'BATCH', '10085', '55921', '1(833)-YOUTOOZ', 'YoUTOOZ.cOm', ""ATTENTION:DANGER D'ETOUFFEMENT."", 'ADVERTENCIA:PELIGRODE ASFIXIA.', 's bes siaces.Ne caviend pss ais artats demsira de 3s mcis 15ans  pu', 'artes petaenas.hc ss aecuacd para hinssmanorea de 3E meses.T5 atas', ""2O22MICROSOFT CORPORATIOn.ALL RIGHTS RESERVED.MICROSOFT,.COnKER'S BAD FUR DAY.RARE.AND"", 'GAMESTUDIOS', 'XPOX']"
1875,"['Product Size', '200cm', '78.74inch', '100cm', '39.37inch']"
1876,"['Directions', 'for Use', 'Shake well before use.', 'forage', 'HYPERFOODS', 'Adults:Take 4 droppers (4ml)', 'Turkey Tail', 'Tincture-Teinture', 'Alcohol-FreeSans alcool', 'NPN80115937', 'daily in any beverage.', '118 ml', 'Storage:Store in a cool, dry place']"
1877,"['TRINKMOOR', 'Produkte konnen mitein', 'worpmittel', 'Nahrungserganzungsmittel', 'ander aufgenommen we', 'mit Huminsauren', 'Nahrungserganzungsmit.e', 'hcta ote.', 'sind kein Ersatz fur eine', 'Aus dem hochwertigenLeo', 'poldskroner Moor bei Salzburg,', 'ausgewogene und abwechs', '-mcontiene', 'lungsreiche Ernahrung sow', 'zugelassen nach dem Salz', 'fur eine gesunde Lebenswe', 'burger Heilvorkommen-und', 'Kurortegesetz 1997.', 'se.Fur Kinder unerreichbe', ' omaliera', 'w.wsenza', 'lagern!Vor Sonneneinsts', 'Mineral Peloid', 'lung schutzen!', 'ble combinare', 'ZUTATEN', 'Caesoor.', 'Wasser Moor.Moor enthalt von', 'Hergestellt in Osterreich', 'saerarinon', 'Natur aus wertvolle Huminsau-', 'SONNENMOOR', 'ren.', 'VERWERTUNGS-UND', 'orata e varia', 'VERTRIEBS-GMBH', 'VERZEHREMPFEHLUNG', 'LandstraBe14', 'otata dei', 'Taglich kurz nach dem', '5102 Anthering', 'aesposiz-ione', 'Fruhstuck und am spaten', 'Tel.:0043-(0)6223-2278', ' Nachmittag je 10 ml Trinkmoor', 'www.sonnenmoorat', ' Una volta', 'mit 1/8|Wasser,Fruchtsaft', 'ottoben', 'oder Tee aufnehmen.', 'o d calore.', 'Vor Gebrauch gut schutteln.', 'ofine', 'Die Tagesdosis (20 ml) enthalt', 'OHNE', 'KONSERVIE-', '33,32 mg Huminsauren.Die', 'RUNGSSTOFFE', 'empfohlene tagliche Verzehr', 'menge darf ohne fach', 'liche Beratung nicht uberschrit-', 'NATURLICH', 'LICHE', 'ten werden.Alle SonnenMoor-', 'VEGAN']"
1878,"['17""', '30""', '30""', '14""', '61""', '60""', '30""']"
1879,"['SUTABLE FOR', 'SUITABLE FOR DYSON V7 V8 V10 V11', 'V7', 'V8', 'V10', 'V11']"
1880,"['27CM', '25CM', '45CM']"
1881,"['4.17""', '7.87""', '7.8""', '12.2""', '8.27""', '11.22""', 'E26 Bulbs (Not Included) Max. 60W', 'Accessories', '3*Wire Connector', '2*Mounting Screws', 'LED', 'Incandescent', 'CFL']"
1882,"['NOHOLE', 'Relax', '3.9inch', '/9.9cm', '9.9inch/25cm']"
1883,"['Medida', 'Base', 'GARANTIA', '3', 'E27', 'LED', 'NOM', 'ANOS', 'TEMP.', 'MODELO', 'POTENCIA EQUIVAL. LUMENES', 'TIPO', 'MEDIDA', 'COLOR', 'INNER MASTER', '9606', '20W', '150W', '1120lm', 'T80', '6500K80mm', '1', '50']"
1884,"['PART NUMBER', '69206-0C030-E1', '69205-0C030-E1', '69206AC010E1', '69205AC010E1', 'TO1352160', 'TO1353160', '81282', '81247', '8017', '8063']"
1885,"['1.3 in / 3.5 cm', '7.4 in/19 cm']"
1886,"['Approximate Dimensions', 'Maximum Weight: 250LBS', '19.7 ""I', '30.7 ""', '15.7 1']"
1887,"['240ml', '45mm', '360ml', '45mm', '200mm', '190mm', '48mm', '57mm']"
1888,"['OURS', 'Other', 'Other', 'Number of LEDs', '384LEDS', '192LEDs', '48LEDs', 'Power', '200W', '80W', '40W', 'Waterproof', 'Waterproof IP64', 'IP30', 'Not waterproof', 'Adaptor', '85-265V', '12V', '5V', 'length of power cord.', '108.6in', '78.6in', '40in', 'Low temperature,', 'Fan cooling is', 'Fan cooling is', 'Heat dissipation', 'long lasting', 'required short life span.', 'required short life span', 'Irradiation range', '(4ft*4ft)*8', '(4ft*4ft)*4', '(4ft*4ft)*2', '12H', 'Way to control', 'O', '8H', '12H', 'EF']"
1889,"['OPGRADE', '750WMOTOR', 'FZ', 'AAVERAGE OUTPUT:', '600-750WATTS', 'PEAKOUTPUT:', '800-1125WATTS', '30', 'N-m', 'PROFESSIONAL', 'MAX SPEED', 'TORQUE:', 'GRADEABILITY', '7SPEED GEARS', '29-30MPH', '60N.M', '30']"
1890,"['12CM', '15CM', '1000ml']"
1891,"['70%', 'Ch', 'HOW TOFAST CHARGE?', 'Original wall charger', 'Computer USB Port', 'of your phone', 'FAST CHARGING REOUIRES', 'DRIGINAL ADAPTER OR OC ADAPTER', 'Samsung Galaxy S20/S20+/S20 Ultra/Note 10:requires a QC /AFCprotocol charger', 'with a 18W USB A port The origina charger is a PD fast charging with a 25 W USB C Port)']"
1892,"['27cm', '10.6in', '12', '-', '2', 'ELECTRIC', '27cm 10.6in', '9', '3', '8', '4', 'JONES', '7', '5', '6']"
1893,"['Thickness:3mm/0.12""', '100cm/39""', '100cm/39""']"
1894,"['36.2', '35.4', '30.7""']"
1895,"['20 PCS', 'Size:12""X12""square(30cm x 30cm)']"
1896,"['ABOKiCHI', 'ABOKiCHi', 'ABOKICHI', 'OKAZU', 'OKAZU', 'OKAZU', 'CURRY MISO', 'SPICY CHILI MISO', 'HOT', 'CHILI MISO', 'Sesame Oil Condiment', 'Sesame Oil Condiment', 'Sesame Oil Condiment', 'condiment huile de sesame', 'DOUT', 'condiment huile de sesame', '000', 'condiment huile de sesame', 'GLUTEN', '250ml', 'CANADA', 'NON', 'GLUTEN', '250ml', 'CANADA', 'EGA', 'GLUTEN', 'VEGAN', '250ml', 'IEGAN', 'FREE', '8.45.', 'FREE', '8.45.', 'EREE', '8.45f.z']"
1897,"['28.5cm', 'JUST', 'FOR YOU', '2cm', '28.5cm']"
1898,"['Siberian ginseng is used in Herbal Medicine:', ' to help improve mental and physical performance, after periods of', 'mental or physical exertion.', 'as a tonic to help relieve general weakness/fatigue and/or to aid', 'during recovery.', 'Dosage:Adults: Take 1 shot daily diluted in half a glass of water or fruit juice', 'Avoid taking before bedtime.', 'Consult a health care practitioner for use beyond 1 month or if symptoms', 'persist or worsen.Consult a health care practitioner if you are pregnant,', 'breastfeeding or have any type of acute infection, if you are taking antidepres-', 'sants,blood thinners, hormone replacement therapy (HRT) or birth control pills', 'Do not use this product if you have high blood pressure, bipolar disorder, or', 'bipolar spectrum disorder.Stop use if you experience irritability, insomnia, or if', 'hypersensitivity/allergy occurs.Diuretic effect may occur.', 'Each 10 mL shot contains: Medicinal ingredients:', 'Siberian ginseng [Eleutherococcus senticosus] (root)', '.22.22 mg', '45:1 extract equivalent to 1,000 mg of dried roots', 'Maca [Lepidium meyenii] root)...', '.250 mg', '4:1 extract equivalent to 1,000 mg of dried roots', 'Cordyceps [Cordyceps sinensis] (fruiting body)...', '.62.5 mg', '8:1 extract equivalent to 500 mg of dried mushrooms', 'Roseroot [Rhodiola rosea] (root).', '.15 mg', 'Extract standardized to 5% rosavin', 'Puncture vine Tribulus terrestris (fruit)', '.5.55 mg', '18:1 extract equivalent to 100 mg of dried fruits', 'Non-medicinal ingredients (alphabetical order): Citric acid anhydrous', 'ethanol, fructose,glycerin (vegetable grade), natural orange tangerine flavour,', 'orange oil, potassium sorbate, purified water, sodium benzoate, sorbitol,', 'xanthan gum.', 'Because certain ingredients are highly concentrated, a small deposit that does', 'not affect the quality of the product may occur in the ampoule.Shake well', 'before using.', 'Risk of choking with the ampoule tip. Make sure you discard it properly before', 'consumption.', 'Keep out of reach of children. Keep below 25C', 'ENERGExis a registered trademark of', 'Sante Naturelle (A.G.) Ltee', 'Sante Naturelle (A.G.)Ltee', 'OR', 'Quebec,Canada J4Y2P4', 'adriengagnon.com', '1-800-781-7723']"
1899,"['One TOuchFLAT', 'Choose your perfect', 'Preset Button', 'sleep position', 'Maximum weight:860 LBS', 'TV', 'FLAT', 'Independent head Incline:0-60%', 'Independent Foot Incline:O-45%', '0-60%', 'Zero-G', 'LEt']"
1900,"['3.93in', '5.51in', '5.11in', '4.13in']"
1901,"['How to use.', 'Stepl.take out a mask', 'Step2. pour enough', 'Step3. the mask paper', 'and put the mask in a', 'lotion into the small', 'is completely sodked', 'small bowl.', 'bowl.', 'Step4. put it on your', 'Step5.quietly enjoy skin', 'Step6.take it off, gently', 'face,adjust the area of', 'rehydration for 5-10', 'massage until', 'eyes, nose, mouth.', 'minutes,', 'completely absorbed']"
